Family,Genus,Species (I.e. Genus + specific epithet),Pollination Mode,Resource,Notes
Verbenaceae,,,animal,FFP,
Violaceae,,,animal,FFP,
Viscaceae,,,animal/wind,FFP,
Winteraceae,,,animal/wind,FFP,
Xeronemataceae,,,animal,FFP,
Xyridaceae,,,animal,FFP,
Zingiberaceae,,,animal,FFP,
Zygophyllaceae,,,animal,FFP,
,Acanthus,,animal,PPE,
,Aconitum,,animal,PPE,
,Adansonia,,animal,PPE,bat
,Agave,,animal,PPE,
,Allionia,,animal,BA,
,Aloe,,animal,PPE,
,Ambrosia,,wind,PPE,
,Amorphophallus,,animal,PPE,insect
,Amphitecna,,animal,PPE,
,Anapalina,,animal,PPE,
,Anthurium,,animal,PPE,
,Aquilegia,,animal,PPE,
,Archangelica,,animal,PPE,
,Arisaema,,animal,PPE,
,Artemisia,,wind,PPE,
,Arum,,animal,PPE,insect
,Atriplex,,wind,Polleninfo.org,
,Bassia,,animal,PPE,
,Bauhinia,,animal,PPE,
,Berberis,,animal,PPE,
,Betula,,wind,PPE,
,Blastophaga,,animal,PPE,
,Boerhavia,,animal,BA,
,Bombax,,animal,PPE,
,Bradburya,,animal,PPE,
,Buddleia,,animal,PPE,
,Calliandra,,animal,PPE,
,Calluna,,animal,PPE,
,Calluna,,wind,PPE,
,Calochilus,,animal,PPE,
,Caltha,,animal,PPE,
,Calycanthus,,animal,PPE,
,Calystegia,,animal,PPE,
,Campanula,,animal,PPE,
,Canavallia,,animal,PPE,
,Cannabis,,wind,PPE,
,Carnegiea,,animal,PPE,
,Cassia,,animal,PPE,
,Castanea,,animal,FFP,
,Castanea,,wind,PPE,tropical
,Castilleja,,animal,PPE,
,Catasetum,,animal,PPE,
,Cayaponia,,animal,PPE,
,Ceiba,,animal,PPE,
,Centrosema,,animal,PPE,
,Ceropegia,,animal,PPE,
,Chamaecyparis,,wind,Polleninfo.org,
,Chelonanthus,,animal,PPE,
,Chenopodium,,wind,Polleninfo.org,
,Chrysanthemum,,animal,PPE,
,Circaea,,animal,PPE,
,Cirrhopetalum,,animal,PPE,
,Citrus,,animal,PPE,
,Cleome,,animal,PPE,
,Cobaea,,animal,PPE,
,Conopodium,,animal,PPE,
,Cornus,,animal,PPE,
,Corydalis,,animal,PPE,
,Corylus,,wind,PPE,
,Crescentia,,animal,PPE,
,Cuphea,,animal,PPE,
,Cupressus,,wind,Polleninfo.org,
,Cycas,,animal,PPE,
,Delphinium,,animal,PPE,
,Dicentra,,animal,PPE,
,Dictamnus,,animal,PPE,
,Drymonia,,animal,PPE,
,Duabanga,,animal,PPE,
,Durio,,animal,PPE,
,Encephalartos,,animal,PPE,
,Eperua,,animal,PPE,
,Epiphyllum,,animal,PPE,
,Erica,,animal,PPE,
,Erythrina,,animal,PPE,
,Eucalyptus,,wind,Polleninfo.org,
,Eucomis,,animal,PPE,
,Eupatorium,,animal,PPE,
,Ficus,,animal,PPE,
,Fraxinus,,wind,PPE,
,Fuchsia,,animal,PPE,
,Fumaria,,animal,PPE,
,Galium,,animal,PPE,
,Geranium,,animal,PPE,
,Gongora,,animal,PPE,
,Gossampinus,,animal,PPE
,Grevillea,,animal,PPE
,Gymnadenia,,animal,PPE
,Haplophragma,,animal,PPE
,Hedera,,animal,PPE
,Heracleum,,animal,PPE
,Ilex,,animal,PPE
,Impatiens,,animal,PPE
,Ipomoea,,animal,PPE
,Iris,,animal,PPE
,Juniperus,,wind,Polleninfo.org
,Kentrosiphon,,animal,PPE
,Kigelia,,animal,PPE
,Kochia,,wind,Polleninfo.org
,Lantana,,animal,PPE
,Linaria,,animal,PPE
,Lobelia,,animal,PPE
,Lonicera,,animal,PPE
,Loranthus,,animal,PPE
,Macrocarpaea,,animal,PPE
,Macroglossa,,animal,PPE
,Madhuca,,animal,PPE
,Magnolia,,animal,PPE
,Malvaviscus,,animal,PPE
,Marcgravia,,animal,PPE
,Markhamia,,animal,PPE
,Melampyrum,,animal,PPE
,Melastoma,,animal,PPE
,Mimetes,,animal,PPE
,Mirabilis,,animal,BA
,Montropa,,animal,PPE
,Mucuna,,animal,PPE
,Musa,,animal,PPE,
,Mutisia,,animal,PPE,
,Myosotis,,animal,PPE,
,Myristica,,animal,PPE,insect
,Myrmecodia,,animal,PPE,
,Nemognathus,,animal,PPE,
,Nigritella,,animal,PPE,
,Nymphaea,,animal,PPE,
,Ochroma,,animal,PPE,
,Ocymum,,animal,PPE,
,Oenothera,,animal,PPE,
,Oncidium,,animal,PPE,
,Ophrys,,animal,PPE,
,Ornithidium,,animal,PPE,
,Oroxylum,,animal,PPE,
,Papaver,,animal,PPE,insect
,Parkia,,animal,PPE,bat
,Parmentiera,,animal,PPE,
,Parnassia,,animal,PPE,
,Passiflora,,animal,PPE,
,Pedicularis,,animal,PPE,
,Pedilanthus,,animal,PPE,
,Pelargonium,,animal,PPE,
,Phaphiopedilum,,animal,PPE,
,Philodendron,,animal,PPE,insect
,Phlox,,animal,PPE,
,Phormium,,animal,PPE,
,Phyteuma,,animal,PPE,
,Picea,,wind,PPE,
,Pinus,,wind,PPE,
,Plantago,,wind,PPE,
,Platantheras,,animal,PPE,
,Poinsettia,,animal,PPE,
,Polycarpicae,,animal,PPE,
,Populus,,wind,PPE,
,Poterium,,wind,FFP,
,Primulas,,animal,PPE,
,Protea,,animal,PPE,
,Pseudodatura,,animal,PPE,
,Pteris,,animal,PPE,
,Purpurella,,animal,PPE,
,Puya,,animal,PPE,
,Quassia,,animal,PPE,
,Quercus,,wind,PPE,tropical
,Rafflesia,,animal,PPE,insect
,Ricinus,,wind,PPE,
,Rosa,,animal,PPE,insect
,Rumex,,wind,Polleninfo.org,
,Salix,,wind,PPE
,Sonneratia,,animal,PPE
,Spathodea,,animal,PPE
,Stapelia,,animal,PPE
,Strelitzia,,animal,PPE
,Taraxacum,,animal,PPE
,Tecoma,,animal,PPE
,Telipogon,,animal,PPE
,Thalictrum,,wind,PPE
,Theobroma,,animal,PPE
