"siteslist","cc","meanmat","varmat","varlogmat","sdmat","meanlo","varlo","varloglo","sdlo","meanutah","meangdd","matslope","matslopese","matslopeconfint11","matslopeconfint89","matslopelog","matslopelogse","matslopelogconfint11","matslopelogconfint89","lomatslope","lomatslopelog","lomatslopelogse","lomatslopelogconfint11","lomatslopelogconfint89","meanmatlo","varmatlo","sdmatlo","matslopelog_exp","lomatslopelog_exp"
11,"1950-1960",5.45928676322133,3.47502643704275,0.176785317967745,1.86414227918438,113,95.7777777777778,0.00742892180169966,9.78661217060213,2061.6,61.7505176309362,-4.67561789990915,0.844122177914713,-6.19278870938973,-3.15844709042857,-0.172717958313992,0.0390364973616633,-0.242879643258449,-0.102556273369534,-7.57744599800418,-0.41220254094969,0.250758447385357,-0.862899616038476,0.0384945341390955,6.58932243336233,0.444603696161203,0.666786094756934,0.841374884174027,0.662190141848541
11,"2000-2010",6.45515559342094,1.02568001842337,0.0245313253450146,1.01275861804448,104.3,28.2333333333333,0.00248431329872928,5.31350480693613,2112,65.262816448818,-3.01801367741446,1.51731864415713,-5.74514443623743,-0.290882918591488,-0.193271379735377,0.0893848651000521,-0.353925976531032,-0.0326167829397212,2.6126699731182,0.143639232821764,0.0896112958971875,-0.0174223360980328,0.304700801741562,6.77125791316672,1.23757684258327,1.11246431070092,0.824258256796693,1.15446753939065
12,"1950-1960",5.35118840498178,3.71330148118514,0.18408320860055,1.92699285966117,107.7,158.233333333333,0.0139829023221135,12.5790831674384,2358,41.179938917465,-5.66371186503047,1.14754856594557,-7.72624171232685,-3.6011820177341,-0.221619726786273,0.0579270883530611,-0.325734142716649,-0.117505310855898,-2.14131321339632,-0.100785877985267,0.239359572967165,-0.5309953507095,0.329423594738965,5.61882245505469,1.04693147158214,1.02319669251916,0.80121998891079,0.904126605571396
12,"2000-2010",6.38000805411702,1.51941708166319,0.0399351053942421,1.23264637332172,104.4,59.3777777777778,0.00553933011796147,7.70569774762661,2346,51.7101400614872,-3.47777646044961,1.83658600570525,-6.77873780213594,-0.17681511876328,-0.211614658099173,0.108355621058019,-0.406366069226029,-0.0168632469723166,1.27127524744584,0.0737591560277665,0.118579706450986,-0.139368367370143,0.286886679425676,6.3074192138569,1.69261074639475,1.30100374572664,0.809276485629406,1.07654749429588
13,"1950-1960",6.58081132831724,2.64321587880819,0.0689991018331615,1.62579699803149,106.2,82.6222222222222,0.00741950094058998,9.08967668414131,2572.8,56.7862636558635,-5.10300711093248,0.807584203218168,-6.55450691910839,-3.65150730275657,-0.290616397142553,0.0537034781979569,-0.387139568338926,-0.19409322594618,-7.15448190890652,-0.493735089922005,0.149732856411941,-0.762855277629354,-0.224614902214656,6.77988694523191,0.888556464209521,0.942632730287635,0.747802482174095,0.610342447541845
13,"2000-2010",7.7668768755771,1.41101165487502,0.0246984704931692,1.18786011587014,102.3,67.5666666666667,0.00661009467859582,8.21989456542276,2470.8,76.2971945546049,-3.87056895798527,2.02805204250581,-7.51565901662861,-0.22547889934193,-0.294854558796249,0.150288277564294,-0.564973024692899,-0.024736092899598,0.746977776961029,0.0483599813655991,0.197582914214452,-0.306762816898991,0.403482779630189,7.41972564060782,1.06397917575703,1.03149366249,0.744639880911195,1.0495484051971
14,"1950-1960",5.08132775527593,3.71868338477864,0.236670903729825,1.92838880539653,118.7,119.788888888889,0.00829295789694436,10.9448110485695,2294.4,76.3848153443312,-4.47222683411557,1.23551114776657,-6.69285495789017,-2.25159871034096,-0.146240909939742,0.0413122804160809,-0.220492940700492,-0.0719888791789922,1.69246905937302,0.0737099472682214,0.137165642762311,-0.172822740424822,0.320242634961265,7.2168869354642,2.30313020719352,1.51760673667242,0.863949544079247,1.0764945200325
14,"2000-2010",6.19954084503602,1.35460020848822,0.0389101579086491,1.1638729348551,99.4,258.266666666667,0.024463548077708,16.0706772311146,2292,47.6190348722945,-5.91100932634085,4.41190050492455,-13.8406750021555,2.01865634947375,-0.297675245605972,0.259833662079098,-0.76468352680135,0.169333035589407,4.84136213212966,0.0804050827978717,0.0520456588522352,-0.0131384307321968,0.17394859632794,5.67996761497831,5.97649333787096,2.444686756595,0.742542444517348,1.08372597752264
15,"1950-1960",6.03921297976717,3.21533515621255,0.124166819515518,1.79313556548649,111.1,115.433333333333,0.00946567461648963,10.7439905683751,2347.2,70.17004378276,-5.24099094176199,1.02669890646198,-7.08631339834971,-3.39566848517427,-0.225379234861893,0.0563889702448417,-0.326729136417005,-0.124029333306781,-8.41758028402312,-0.547233447975489,0.211245186667072,-0.926911934384053,-0.167554961566925,7.09317726080997,0.741202822976187,0.860931369492474,0.798213450985113,0.578548182016109
15,"2000-2010",7.01790148248194,1.09440876173036,0.0214154276825168,1.04613993410555,109.8,29.7333333333333,0.00245956489833004,5.45282801244761,2206.8,76.4653900933215,-4.00779638536525,1.17823844194178,-6.12548623819905,-1.89010653253146,-0.263846606226859,0.0751956696079733,-0.398998457361008,-0.12869475509271,0.364827352418558,0.0170766404448035,0.0971644530598881,-0.157560486452842,0.191713767342449,7.26916112784417,1.58505765720345,1.25899072959393,0.768091351051163,1.01722327978248
