"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
2364,113.262775602167,88.3260201152957,8.05693530378443,1,1967,49.2667,8.75,"49.2667 8.75","1950-1970",122,7.18581951151556,11.1617185005161,7.96033315540602
1800,100.160721512497,194.967135936418,10.5527416996117,1,1968,49.2667,8.75,"49.2667 8.75","1950-1970",119,7.84565556234085,6.79812484805007,4.63869554849099
1920,99.6116734243828,155.609107066486,9.77983849108099,1,1969,49.2667,8.75,"49.2667 8.75","1950-1970",129,5.97516380087091,7.30578108670306,4.9003259774257
1932,103.856334595088,92.6776160452488,7.87661272716979,1,1970,49.2667,8.75,"49.2667 8.75","1950-1970",125,4.67622940367485,5.94453111712937,5.26344432679729
2880,132.186429359376,28.5102209220308,5.410483750034,2,1951,50.0167,7.95,"50.0167 7.95","1950-1970",114,4.81491792516508,4.75749989366159,3.63782600564477
2304,117.535711992008,88.2066658202755,6.59596759450412,2,1952,50.0167,7.95,"50.0167 7.95","1950-1970",105,7.32418016416066,8.35062481334899,5.65399987362325
2244,110.725017857984,89.2943712825475,8.4248385213676,2,1953,50.0167,7.95,"50.0167 7.95","1950-1970",103,7.52721294650777,5.28906238178024,6.66282593803075
2556,122.786771580423,30.1655815547777,5.84951599828538,2,1954,50.0167,7.95,"50.0167 7.95","1950-1970",116,5.76663921536786,7.22656233847374,2.9473912384685
1740,101.419424553729,46.477012418326,6.24193534435284,2,1955,50.0167,7.95,"50.0167 7.95","1950-1970",118,4.14393433360536,8.60937480756547,4.47544434441047
2100,103.304331366686,47.9060255578337,5.98999986611307,2,1956,50.0167,7.95,"50.0167 7.95","1950-1970",119,4.90532775920984,7.8970310734876,6.99228245240596
2796,131.950965438011,80.8257306053494,8.43048368253174,2,1957,50.0167,7.95,"50.0167 7.95","1950-1970",95,7.77270474429929,2.94828118410078,7.84510852030033
2160,109.758176664657,34.6165778034644,5.29274181718187,2,1958,50.0167,7.95,"50.0167 7.95","1950-1970",118,2.78819665899042,4.4882811496791,7.00166651016722
2616,118.926013603151,67.7479884766489,7.35322564209421,2,1959,50.0167,7.95,"50.0167 7.95","1950-1970",99,8.25385227452841,5.7690623710514,8.25119546774532
2676,121.856018728591,83.0260263370762,7.80290305139797,2,1960,50.0167,7.95,"50.0167 7.95","1950-1970",102,6.93024574673628,6.23031236074166,4.7349998941645
2124,114.490259856507,97.0460865310508,8.11145143159815,2,1961,50.0167,7.95,"50.0167 7.95","1950-1970",100,8.65073751155898,3.62249991903082,3.05055548737033
1884,103.037868945308,99.5654452164649,7.6564514417682,2,1962,50.0167,7.95,"50.0167 7.95","1950-1970",115,4.29680318264749,8.30515606436529,5.10304336419896
1776,88.4232784524209,82.773383825162,7.87677401748876,2,1963,50.0167,7.95,"50.0167 7.95","1950-1970",114,6.25491789297857,10.0346872757073,5.9748911707986
2244,111.132108241484,47.9334561452993,5.84306438552636,2,1964,50.0167,7.95,"50.0167 7.95","1950-1970",108,5.07483595214234,5.66546862336691,4.70011100605544
2292,116.427300410658,58.751862921452,7.37274177069025,2,1965,50.0167,7.95,"50.0167 7.95","1950-1970",112,5.30393430767734,5.53843737620628,4.24391294861941
2196,116.985881281631,42.2508875641226,5.87903212665791,2,1966,50.0167,7.95,"50.0167 7.95","1950-1970",105,6.57737690216449,5.59359362497344,3.98141295448674
2640,123.570781658233,45.7835144586089,6.56451598230389,2,1967,50.0167,7.95,"50.0167 7.95","1950-1970",110,6.19729494344687,9.85359352975502,6.75477762679673
1800,101.780647772903,160.040821018997,9.37596753236627,2,1968,50.0167,7.95,"50.0167 7.95","1950-1970",116,6.94081951699174,5.42359362877323,4.26402164382212
