"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
2100,103.304331366686,47.9060255578337,5.98999986611307,2,1956,50.0167,7.95,"50.0167 7.95","1950-1960",119,4.90532775920984,7.8970310734876,6.99228245240596
2796,131.950965438011,80.8257306053494,8.43048368253174,2,1957,50.0167,7.95,"50.0167 7.95","1950-1960",95,7.77270474429929,6.89515609588125,7.84510852030033
2160,109.758176664657,34.6165778034644,5.29274181718187,2,1958,50.0167,7.95,"50.0167 7.95","1950-1960",118,2.78819665899042,7.22453108851914,7.00166651016722
2616,118.926013603151,67.7479884766489,7.35322564209421,2,1959,50.0167,7.95,"50.0167 7.95","1950-1960",99,8.25385227452841,5.82140611988143,5.92086943287564
2676,121.856018728591,83.0260263370762,7.80290305139797,2,1960,50.0167,7.95,"50.0167 7.95","1950-1960",102,6.93024574673628,4.69156239513541,6.51782594127176
3276,137.210807240566,58.4940828999051,6.84612887923516,3,1951,51.8333,7.3,"51.8333 7.3","1950-1960",116,5.54573758096114,5.54484362606308,4.64184772233357
2772,129.832610506688,84.6690791220208,6.28241921441569,3,1952,51.8333,7.3,"51.8333 7.3","1950-1960",104,7.54319655270789,7.79171857584151,6.2076665279145
2604,118.068789778464,85.3101715500479,8.2883869115143,3,1953,51.8333,7.3,"51.8333 7.3","1950-1960",109,7.47245884937097,5.96328111671028,6.56249985331669
2496,122.455525111883,38.1709429365319,6.7832256548347,3,1954,51.8333,7.3,"51.8333 7.3","1950-1960",116,6.39614739801857,7.63078107943875,3.96619556352253
1944,110.692827761701,59.0385122925682,6.94838694146564,3,1955,51.8333,7.3,"51.8333 7.3","1950-1960",118,5.01475398627217,8.95078104993445,4.99044433289932
2100,108.892386542427,43.7506605894061,6.20096760333305,3,1956,51.8333,7.3,"51.8333 7.3","1950-1960",125,5.22959004704398,8.17562481726054,7.58706504780718
3216,140.857534314945,92.0619567310828,8.88919334969814,3,1957,51.8333,7.3,"51.8333 7.3","1950-1960",97,8.21319653773222,7.71953107745503,8.46565198469097
2316,114.539503280712,48.0481516672921,6.22016115129114,3,1958,51.8333,7.3,"51.8333 7.3","1950-1960",120,3.90516384713901,7.67062482854817,7.47422205516034
2448,118.895219637212,84.6831998551776,8.22725788062258,3,1959,51.8333,7.3,"51.8333 7.3","1950-1960",103,9.05885225653526,5.97078111654264,6.00782595267114
2556,127.970087162482,96.3878691120167,8.62629012976803,3,1960,51.8333,7.3,"51.8333 7.3","1950-1960",110,7.42901622739117,5.45828112799791,7.09326071101848
2772,129.98515073436,67.4243737099353,7.14387080806398,4,1951,49.0833,9.88333,"49.0833 9.88333","1950-1960",117,5.2129507031536,5.05968738690717,3.8982607824323
2208,113.563996134351,160.676249028574,8.99145141192862,4,1952,49.0833,9.88333,"49.0833 9.88333","1950-1960",114,7.08237689087686,8.49046856022323,5.39288876834843
2208,108.227146149911,118.730516376268,9.37274172598676,4,1953,49.0833,9.88333,"49.0833 9.88333","1950-1960",115,7.47934409511871,5.01687488786411,6.60641289581342
2340,118.099574508902,52.3571867268704,6.81177404129337,4,1954,49.0833,9.88333,"49.0833 9.88333","1950-1960",129,5.60418020260566,7.14578109027934,2.61228255030659
1752,100.313229806369,103.173461728591,8.02838691732576,4,1955,49.0833,9.88333,"49.0833 9.88333","1950-1960",125,3.72491794952848,8.35656231321627,3.98122213323497
1956,102.30669455934,51.990843746117,6.15403212051118,4,1956,49.0833,9.88333,"49.0833 9.88333","1950-1960",124,4.75524579535132,7.40843733440852,6.72782593657789
2664,126.486158026731,63.7890145509032,7.00483855310707,4,1957,49.0833,9.88333,"49.0833 9.88333","1950-1960",129,7.35336049137729,6.55812485341448,7.76706504378387
2100,104.723173663106,102.468286327563,7.97580627333974,4,1958,49.0833,9.88333,"49.0833 9.88333","1950-1960",129,2.22131142575966,6.51218735444127,6.57766651964436
