"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
2028,106.94200298661,38.8675511125861,5.55370955328427,12,1979,47.8333,10.8,"47.8333 10.8","1970-1990",134,4.52180317761835,5.45062487816904,3.10377770840294
2040,108.416394593394,45.1068438965938,5.91209664204789,12,1980,47.8333,10.8,"47.8333 10.8","1970-1990",133,3.58991795254596,4.30031240388053,7.3441302706285
1512,97.5867733308984,89.3742306186527,7.10741919597551,12,1981,47.8333,10.8,"47.8333 10.8","1970-1990",130,7.38106540879082,4.22406240558485,6.35152159716286
1968,111.425766085621,47.8085443093805,6.33290308425503,12,1982,47.8333,10.8,"47.8333 10.8","1970-1990",135,4.14549171061973,6.55296860352973,4.43122212317669
2232,116.007704324244,104.847633351057,7.95177401581238,12,1983,47.8333,10.8,"47.8333 10.8","1970-1990",119,6.18729494367039,5.1057811358769,3.18293471146456
2064,104.454806548556,66.6651421078374,6.57919340133066,12,1984,47.8333,10.8,"47.8333 10.8","1970-1990",126,2.68491797277429,5.92359361759736,3.40597818474002
1752,99.1149354762782,83.0317380184555,7.20935467756804,12,1985,47.8333,10.8,"47.8333 10.8","1970-1990",133,4.317540887102,4.74062489403877,1.11688886392448
2148,113.849803462247,141.614592323552,8.50838690659692,12,1986,47.8333,10.8,"47.8333 10.8","1970-1990",127,4.42319662244532,0.318124992889352,5.79076074013163
1620,96.4788430994339,101.158028817866,8.29774175001489,12,1987,47.8333,10.8,"47.8333 10.8","1970-1990",121,3.29868845085873,6.16499986220151,5.72532595898551
2148,114.421962670646,80.2657900771281,7.9108062747926,12,1988,47.8333,10.8,"47.8333 10.8","1970-1990",122,4.65688514181214,8.02156232070411,4.96722211119615
2304,111.960651587838,83.9358955201036,8.08419336769129,12,1989,47.8333,10.8,"47.8333 10.8","1970-1990",114,6.99786869604446,4.17578115666402,5.77891291430949
2424,122.43935661284,76.7228751830911,7.11709661511404,12,1990,47.8333,10.8,"47.8333 10.8","1970-1990",127,6.00549166904549,6.12515611309209,4.62891294001399
2688,122.185261908446,125.99708642828,9.62209655912293,13,1971,49.7167,10.2167,"49.7167 10.2167","1970-1990",126,5.53254085994463,8.50468730990542,6.38815203112672
2820,121.173703312132,87.943048649588,8.43564497273896,13,1972,49.7167,10.2167,"49.7167 10.2167","1970-1990",122,7.34229491785413,8.41062481200788,6.09652160286255
2004,112.37730148046,164.111537927223,10.0606449364174,13,1973,49.7167,10.2167,"49.7167 10.2167","1970-1990",134,5.14745890133877,6.52906235406408,5.48388876631442
3204,138.371737458712,88.0706946227515,8.16629014004983,13,1974,49.7167,10.2167,"49.7167 10.2167","1970-1990",126,7.6489342552625,5.87640611865208,9.61999978497624
2676,121.036520818123,213.771951940259,11.9670965067081,13,1975,49.7167,10.2167,"49.7167 10.2167","1970-1990",138,6.20631133668796,6.51874985429458,5.72706508938142
2268,107.157787694921,103.331291874608,8.69612883788443,13,1976,49.7167,10.2167,"49.7167 10.2167","1970-1990",117,5.19704906416477,7.94953107231413,3.3738888134766
2508,127.667095930739,204.044001446306,11.7872578010504,13,1977,49.7167,10.2167,"49.7167 10.2167","1970-1990",146,6.93196705817321,7.31296858654241,5.7409781325487
2640,121.847987015015,81.587298759382,7.93548369359586,13,1978,49.7167,10.2167,"49.7167 10.2167","1970-1990",118,6.79237689735887,7.11015609107562,3.28043470928526
2172,111.201649250771,176.539178606905,10.4469352503638,13,1979,49.7167,10.2167,"49.7167 10.2167","1970-1990",143,6.34573756307974,7.18031233950751,4.72422211662763
2400,117.966273450036,77.4427659456442,7.61999982967973,13,1980,49.7167,10.2167,"49.7167 10.2167","1970-1990",130,5.89606544198316,6.34359360820963,8.11749981855974
1536,96.32502538929,136.547418814769,9.06419334578658,13,1981,49.7167,10.2167,"49.7167 10.2167","1970-1990",120,8.60270472574735,5.64624987379648,7.80673895594057
2148,114.173630176506,38.1493274054539,6.59677404609899,13,1982,49.7167,10.2167,"49.7167 10.2167","1970-1990",128,6.04204904527755,8.73578105474007,5.82777764751679
2124,112.285616622829,92.2185931047432,7.73806434316981,13,1983,49.7167,10.2167,"49.7167 10.2167","1970-1990",114,7.41827852271314,6.93890609490336,5.35097814126588
2208,115.00168257897,73.1689195273102,7.20032241970541,13,1984,49.7167,10.2167,"49.7167 10.2167","1970-1990",118,4.89204907098205,6.91234359549708,5.26826075181041
1800,101.935298693847,97.0574689337403,8.36774174845026,13,1985,49.7167,10.2167,"49.7167 10.2167","1970-1990",124,6.20024576305305,5.70296862252872,2.93877771209098
