"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
2508,116.421501593508,36.5101999326397,5.83048374064627,3,1957,49.3167,12.75,"49.3167 12.75","1950-1960",116,6.17819658321802,5.25265613259398,6.58902159185432
1704,95.2707674966585,163.787863813373,9.83322558666189,3,1958,49.3167,12.75,"49.3167 12.75","1950-1960",136,1.09311472966534,5.95031236700015,4.50588878817442
2340,109.610898718172,53.0984757047465,6.94161274806867,3,1959,49.3167,12.75,"49.3167 12.75","1950-1960",103,7.04377033436274,4.75624989368953,5.07597814741261
2328,105.906788271259,35.2198349581191,5.23596762490248,3,1960,49.3167,12.75,"49.3167 12.75","1950-1960",102,4.87491792382398,4.4718749000458,4.54347815931491
2256,121.059820081894,32.7090503494639,5.6688708410328,4,1951,49.4,11.4,"49.4 11.4","1950-1960",112,4.92942611932693,4.94312488951255,3.51260861713925
1980,106.629006473599,95.5107546974405,6.62806436798025,4,1952,49.4,11.4,"49.4 11.4","1950-1960",106,6.61959001597506,8.73468730476452,4.55866656477253
1836,100.71798779337,77.2185890327673,6.89258049110011,4,1953,49.4,11.4,"49.4 11.4","1950-1960",96,7.58147524037688,4.88906239072094,6.72489115403479
2064,110.974546431904,29.1678457689243,5.693870840474,4,1954,49.4,11.4,"49.4 11.4","1950-1960",119,5.3258195530898,7.35406233562389,2.63630428890009
1560,95.4362962247925,66.5703577764332,6.46645146836677,4,1955,49.4,11.4,"49.4 11.4","1950-1960",120,3.72836057240235,8.66203105638851,3.08577770880527
1752,94.4773944010811,56.5590699677953,6.27935469835516,4,1956,49.4,11.4,"49.4 11.4","1950-1960",125,4.11139335072615,7.31593733647605,6.60847811315857
2532,121.612123391186,60.0884775186543,6.83709662137253,4,1957,49.4,11.4,"49.4 11.4","1950-1960",111,7.32040967244166,6.0778123641503,7.91086938839568
1944,100.711984139405,52.5253365499204,6.32790308436679,4,1958,49.4,11.4,"49.4 11.4","1950-1960",123,2.20450814744671,6.58281235286267,6.3172220810213
2352,112.978382291365,119.459619863467,9.30338688882729,4,1959,49.4,11.4,"49.4 11.4","1950-1960",106,8.35581948536402,4.89624989056028,5.98945638786434
